repo,TotalFiles,java,cs,c,cxx,py,vb,php,jsx,pl,mm,rb,aspx,htmx,sql,pkb,TotalLOC
mapbox_mapbox-gl-native,3338,425,0,13,586,3,0,0,36,0,95,0,0,1,2,0,441657
supercollider_supercollider,6437,0,0,16,376,25,0,0,8,1,7,0,0,13,0,0,214229
BuildCraft_BuildCraft,3442,1875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201478
apache_accumulo,2242,2016,0,1,4,5,0,0,39,0,0,3,0,1,0,0,782499
MyGUI_mygui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RobertCNelson_u-boot,14084,0,0,4164,0,159,0,0,0,5,0,0,0,0,0,0,1421177
QupZilla_qupzilla,1636,0,0,0,284,0,0,0,6,0,1,0,0,18,0,0,67114
OSGeo_gdal,6626,26,23,346,1250,519,0,0,0,3,0,27,0,197,10,0,1920961
orocrm_platform,16565,0,0,0,0,0,0,12131,950,0,0,0,0,137,0,0,1504560
PDAL_PDAL,5003,0,0,0,460,27,0,0,11,1,0,0,0,128,1,0,176884
StackStorm_st2,2421,0,0,0,0,1179,0,0,1,0,0,0,0,1,0,0,158071
opscode_supermarket,1070,0,0,0,0,0,0,0,33,0,0,578,0,3,0,0,30354
ImageEngine_gaffer,2516,0,0,0,519,1032,0,0,0,0,0,0,0,0,0,0,312260
urho3d_Urho3D,5905,4,0,777,963,1,0,0,0,2,0,0,0,1,0,0,1260153
Unidata_thredds,8247,2725,0,1,0,2,0,0,49,0,0,2,0,279,0,0,934286
nfs-ganesha_nfs-ganesha,833,0,0,369,0,29,0,0,0,2,0,0,0,0,0,0,193500
fatfreecrm_fat_free_crm,1011,0,0,0,0,0,0,0,73,0,0,459,0,3,0,0,35275
Spesmilo_Electrum,446,1,0,0,0,190,0,0,0,0,0,0,0,0,0,0,51038
stephenmcd_mezzanine,1196,0,0,0,0,194,0,0,103,0,0,0,0,73,0,0,34470
christopho_solarus,1666,0,0,4,225,0,0,0,0,0,1,0,0,0,0,0,103046
intermine_intermine,4206,1781,0,0,0,3,0,1,390,0,0,1,0,27,8,0,543719
TechEmpower_FrameworkBenchmarks,4009,383,200,17,33,140,18,327,88,5,0,77,0,98,8,0,78660
qemu_qemu,6390,0,0,2619,3,83,0,0,0,7,0,0,0,0,0,0,1497295
nasa_europa,1173,157,0,0,7,3,0,0,0,2,0,0,0,31,0,0,76231
benhoskings_babushka,181,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,14181
results,58,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,3542
opencor_opencor,3728,0,0,4,245,2,0,1,13,0,1,0,0,56,0,0,127009
Shopify_active_merchant,709,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,182441
liamw9534_mopidy,301,0,0,0,0,153,0,0,9,0,0,0,0,1,0,0,30372
apache_thrift,2509,215,161,65,137,81,0,76,62,7,0,93,0,11,0,0,163669
clintbellanger_flare-engine,426,5,0,0,117,1,0,0,0,0,0,0,0,4,0,0,52783
sfu-fas_coursys,2524,0,0,0,0,790,0,1,211,1,0,189,0,697,0,0,235181
Irssi_irssi,598,0,0,192,0,0,0,0,0,16,0,0,0,2,0,0,81723
ReadyTalk_avian,716,478,0,3,88,0,0,0,0,0,0,0,0,0,0,0,116115
NancyFx_Nancy,1339,0,959,0,0,0,0,0,18,0,0,0,0,20,0,0,113311
pyne_pyne,782,0,0,0,25,148,0,0,1,0,0,0,0,3,0,0,153960
mongodb_mongo-ruby-driver,876,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,94020
vispy_vispy,731,0,0,0,0,554,0,0,10,0,0,0,0,0,0,0,96484
HAProxy_haproxy-1.5,378,0,0,86,0,0,0,0,0,1,0,0,0,0,0,0,77052
tinkerpop_tinkerpop3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seqan_seqan,5110,0,0,0,591,93,0,1,66,0,0,0,0,35,0,0,218733
torchbox_wagtail,2814,0,0,0,0,714,0,0,153,0,0,0,0,309,0,0,118006
collectiveaccess_providence,13439,0,0,1,0,5,0,8004,748,0,0,4,0,63,159,0,1984216
SCIInstitute_SCIRun,6147,0,0,524,811,45,0,0,2,4,0,0,0,0,0,0,478068
leapmotion_autowiring,4005,0,0,0,327,1,0,0,0,1,0,0,0,1,0,0,51686
sass_sass,280,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,45597
unclebob_fitnesse,2681,1108,0,0,0,0,0,0,35,0,0,0,0,3,0,0,130082
micropython_micropython,2944,0,0,634,0,1078,0,0,0,0,0,0,0,3,0,0,256675
rubygems_rubygems.org,475,0,0,0,0,0,0,0,8,0,0,288,0,6,0,0,18335
overturetool_overture,13707,2049,0,0,3,0,0,0,0,0,0,0,0,7,0,0,308379
exercism_exercism.io,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github_linguist,2488,9,6,22,12,5,2,11,22,20,3,46,0,1,16,1,106449
zopefoundation_ZODB,200,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,34614
MSOpenTech_cocos2d-x,6210,66,0,37,1048,43,0,0,210,0,76,0,0,7,0,0,980831
wp-e-commerce_WP-e-Commerce,1217,0,0,0,0,0,0,783,80,0,0,0,0,25,0,0,213126
Icinga_icinga2,1070,0,12,14,330,5,0,0,1,0,0,0,0,0,20,0,93085
wikimedia_pywikibot-core,366,0,0,0,0,287,0,0,0,0,0,0,0,1,0,0,123762
